,t,tw,n,flux,low,high
0,55102.5,839.0,224137,0.0,0.0,0.03
1,55549.0,54.0,18316,8.711,7.269,10.161
2,55587.0,22.0,6865,66.287,62.769,69.833
3,55606.5,17.0,4958,30.288,26.867,33.741
4,56190.5,1151.0,321283,0.0,0.0,0.032
5,56788.0,44.0,14740,5.341,3.813,6.9
6,56813.5,7.0,4046,27.038,23.367,30.748
7,56819.0,4.0,2594,85.711,79.581,91.921
8,56826.0,10.0,4721,39.094,35.503,42.72
9,56831.5,1.0,375,163.821,143.097,185.271
10,56836.0,8.0,3212,51.835,47.167,56.557
11,56843.5,7.0,3037,9.015,5.494,12.675
12,56850.5,7.0,1957,58.764,52.483,65.141
13,57431.5,1155.0,329217,0.0,0.0,0.041
14,58034.0,50.0,14142,11.222,9.56,12.894
15,58059.5,1.0,508,206.939,186.786,227.698
16,58065.0,10.0,4696,23.713,20.413,27.045
17,58072.5,5.0,1815,60.962,54.465,67.562
18,58076.0,2.0,845,185.124,170.228,200.365
19,58078.0,2.0,602,78.112,66.091,90.464
20,58083.5,9.0,2260,31.792,26.847,36.807
21,58088.5,1.0,361,192.023,169.627,215.218
22,58091.0,4.0,956,32.022,24.804,39.653
23,58458.0,730.0,216106,0.0,0.0,0.134
24,59021.5,397.0,115970,0.0,0.0,0.327
25,59264.5,89.0,30916,4.925,3.878,5.987
26,59313.0,8.0,1957,28.49,23.407,33.651
27,59319.0,4.0,1308,76.253,67.975,84.685
28,59323.5,5.0,1141,17.993,12.244,24.085
29,59328.0,4.0,846,80.212,69.67,90.999
30,59331.5,3.0,637,17.618,9.516,26.323
